Course/Section,Section Title,Days Met,Start Time,End Time,Room,Instructor,Term,Status,Max Enrollment,Course Offering Id
MKTG 409/599 LEC,PRINCIPLES OF MARKETING,,,,,Troy,202411 (CS Spring) - View Only,Incomplete,450,21668
MKTG 425/500 LEC,RETAIL MERCHANDISING,MW,12:45 PM,2:00 PM,WCBA 156,McMillan,202411 (CS Spring) - View Only,Scheduled,30,43786
MKTG 430/500 LEC,MARKETING CONSULTING,TR,9:35 AM,10:50 AM,WCBA 286,Sreenivasan,202411 (CS Spring) - View Only,Scheduled,30,24323
MKTG 431/500 LEC,MARKETING ANALYTICS,MW,12:45 PM,2:00 PM,WCBA 286,Sharma,202411 (CS Spring) - View Only,Scheduled,30,30160
MKTG 431/501 LEC,MARKETING ANALYTICS,MW,2:20 PM,3:35 PM,WCBA 286,Sharma,202411 (CS Spring) - View Only,Scheduled,30,30207
MKTG 436/501 LEC,SALES LEADERSHIP,TR,2:20 PM,3:35 PM,WCBA 108,Jones,202411 (CS Spring) - View Only,Scheduled,25,46905
MKTG 436/502 LEC,SALES LEADERSHIP,TR,3:55 PM,5:10 PM,WCBA 108,Jones,202411 (CS Spring) - View Only,Scheduled,25,46911
MKTG 441/201 LEC,HNR-SERVICE QUAL IN HEALTHCARE,MW,11:15 AM,1:15 PM,WCBA 205,Berry,202411 (CS Spring) - View Only,Scheduled,0,33712
MKTG 442/500 LEC,INNOVATION & PROD MGMT,R,2:20 PM,4:50 PM,WCBA 205,Anderson-Macdonald,202411 (CS Spring) - View Only,Scheduled,25,50687
MKTG 444/500 LEC,HLTH TECH IMPRV CUST CARE,TR,9:35 AM,10:50 AM,WCBA 205,Dikec,202411 (CS Spring) - View Only,Scheduled,25,47662
MKTG 447/500 LEC,ADV ADVERTISING CASE COMP,TR,12:45 PM,2:00 PM,WCBA 104,Troy,202411 (CS Spring) - View Only,Scheduled,0,12748
MKTG 448/900 LEC,MARKETING STRATEGY,MW,12:45 PM,2:00 PM,WCBA 106,Griffith,202411 (CS Spring) - View Only,Scheduled,22,44505
MKTG 448/901 LEC,MARKETING STRATEGY,MW,2:20 PM,3:35 PM,WCBA 106,Griffith,202411 (CS Spring) - View Only,Scheduled,22,12749
MKTG 448/902 LEC,MARKETING STRATEGY,MW,3:55 PM,5:10 PM,WCBA 106,Griffith,202411 (CS Spring) - View Only,Scheduled,22,12750
MKTG 448/904 LEC,MARKETING STRATEGY,TR,11:10 AM,12:25 PM,WCBA 205,Dikec,202411 (CS Spring) - View Only,Scheduled,24,12751
MKTG 448/905 LEC,MARKETING STRATEGY,TR,12:45 PM,2:00 PM,WCBA 205,Dikec,202411 (CS Spring) - View Only,Scheduled,24,48198
MKTG 485/500 INS,DIRECTED STUDIES,,,,,Sreenivasan,202411 (CS Spring) - View Only,Incomplete,0,52678
MKTG 485/501 INS,DIRECTED STUDIES,,,,,Berry,202411 (CS Spring) - View Only,Incomplete,0,51353
MKTG 485/502 INS,DIRECTED STUDIES,,,,,Troy,202411 (CS Spring) - View Only,Incomplete,0,51718
MKTG 485/503 INS,DIRECTED STUDIES,,,,,Loring,202411 (CS Spring) - View Only,Incomplete,0,52356
MKTG 604/600 LEC,DATA VISUALIZATION MKTG,TR,2:20 PM,3:35 PM,WCBA 286,Ramani,202411 (CS Spring) - View Only,Scheduled,25,41584
MKTG 613/661 LEC,MARKETING MANAGEMENT,,,,,Sridhar,202411 (CS Spring) - View Only,Incomplete,55,19757
MKTG 625/651 LEC,MARKETING ENGR,R,6:00 PM,9:30 PM,,Sridhar,202411 (CS Spring) - View Only,Unassigned,37,19423
MKTG 625/700 LEC,MARKETING ANALYTICS I,R,6:00 PM,9:30 PM,,Sridhar,202411 (CS Spring) - View Only,Unassigned,37,19424
MKTG 626/601 LEC,MARKETING ANALYTICS II,MW,3:55 PM,5:10 PM,WCBA 286,Sharma,202411 (CS Spring) - View Only,Scheduled,25,33713
MKTG 637/601 LEC,SELLING FINC PRODUCTS & SERVIC,MW,3:55 PM,5:10 PM,WCBA 182,Garey,202411 (CS Spring) - View Only,Scheduled,40,45888
MKTG 656/600 LEC,BRANDING AND MKTG COMM,MW,12:45 PM,2:00 PM,WCBA 108,Olson,202411 (CS Spring) - View Only,Scheduled,25,41583
MKTG 660/600 LAB,MARKETING CONSULTING,,,,,Healy,202411 (CS Spring) - View Only,Incomplete,24,11649
MKTG 660/600 LEC,MARKETING CONSULTING,T,11:00 AM,2:00 PM,WCBA 183,Healy,202411 (CS Spring) - View Only,Scheduled,24,11649
MKTG 673/601 LEC,SERVICES MARKETING,MW,2:20 PM,3:35 PM,WCBA 187,Berry,202411 (CS Spring) - View Only,Scheduled,25,11652
MKTG 673/661 LEC,SERVICES MARKETING,,,,,Parish,202411 (CS Spring) - View Only,Incomplete,55,19756
MKTG 682/600 LEC,SEM MKTG STRATEGY RESRCH,R,5:00 PM,7:30 PM,WCBA 205,Anderson-Macdonald,202411 (CS Spring) - View Only,Scheduled,5,50785
MKTG 685/601 INS,DIRECTED STUDIES,,,,,Burton,202411 (CS Spring) - View Only,Incomplete,0,51801
MKTG 689/601 LEC,SPTP: NONPROFIT CONSULTING,MTWRF,8:30 AM,5:00 PM,WCBA 108,Burton,202411 (CS Spring) - View Only,Scheduled,29,51639
MKTG 689/601 LEC,SPTP: NONPROFIT CONSULTING,,,,,Burton,202411 (CS Spring) - View Only,Incomplete,29,51639
MKTG 691/601 RES,RESEARCH,,,,,Liu,202411 (CS Spring) - View Only,Incomplete,5,14369
MKTG 691/602 RES,RESEARCH,,,,,Wilcox,202411 (CS Spring) - View Only,Incomplete,5,18729
MKTG 691/603 RES,RESEARCH,,,,,Griffith,202411 (CS Spring) - View Only,Incomplete,5,14370
MKTG 710/600 LEC,STRATEGIC MARKETING DECISIONS,MW,1:15 PM,3:15 PM,WCBA 190,Loring,202411 (CS Spring) - View Only,Scheduled,61,29308
MLSC 122/501 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11653
MLSC 122/501 LEC,INTRO TO THE US ARMY II,T,9:35 AM,10:25 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11653
MLSC 122/502 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11654
MLSC 122/502 LEC,INTRO TO THE US ARMY II,T,11:10 AM,12:00 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11654
MLSC 122/503 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11655
MLSC 122/503 LEC,INTRO TO THE US ARMY II,T,12:45 PM,1:35 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11655
MLSC 122/504 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11656
MLSC 122/504 LEC,INTRO TO THE US ARMY II,W,9:10 AM,10:00 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11656
MLSC 122/505 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11657
MLSC 122/505 LEC,INTRO TO THE US ARMY II,W,10:20 AM,11:10 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11657
MLSC 122/506 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11658
MLSC 122/506 LEC,INTRO TO THE US ARMY II,W,1:50 PM,2:40 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11658
MLSC 122/507 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11659
MLSC 122/507 LEC,INTRO TO THE US ARMY II,R,9:35 AM,10:25 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11659
MLSC 122/509 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11661
MLSC 122/509 LEC,INTRO TO THE US ARMY II,R,12:45 PM,1:35 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,11661
MLSC 122/510 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29040
MLSC 122/510 LEC,INTRO TO THE US ARMY II,T,9:35 AM,10:25 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29040
MLSC 122/511 LAB,INTRO TO THE US ARMY II,W,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29041
MLSC 122/511 LEC,INTRO TO THE US ARMY II,T,11:10 AM,12:00 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29041
MLSC 122/512 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29042
MLSC 122/512 LEC,INTRO TO THE US ARMY II,T,12:45 PM,1:35 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29042
MLSC 122/513 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29043
MLSC 122/513 LEC,INTRO TO THE US ARMY II,W,9:10 AM,10:00 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29043
MLSC 122/514 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29044
MLSC 122/514 LEC,INTRO TO THE US ARMY II,W,10:20 AM,11:10 AM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29044
MLSC 122/515 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29045
MLSC 122/515 LEC,INTRO TO THE US ARMY II,W,1:50 PM,2:40 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29045
MLSC 122/516 LAB,INTRO TO THE US ARMY II,R,3:30 PM,5:30 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29046
MLSC 122/516 LEC,INTRO TO THE US ARMY II,R,12:45 PM,1:35 PM,MILS 317,Brightwell,202411 (CS Spring) - View Only,Scheduled,25,29046
MLSC 222/501 LAB,TACTICS & LDRSHP THRY II,W,3:30 PM,5:30 PM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,11662
MLSC 222/501 LEC,TACTICS & LDRSHP THRY II,MW,9:10 AM,10:00 AM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,11662
MLSC 222/502 LAB,TACTICS & LDRSHP THRY II,R,3:30 PM,5:30 PM,,LeForte,202411 (CS Spring) - View Only,Unassigned,30,11663
MLSC 222/502 LEC,TACTICS & LDRSHP THRY II,MW,9:10 AM,10:00 AM,AIEN M113,LeForte,202411 (CS Spring) - View Only,Scheduled,30,11663
MLSC 222/503 LAB,TACTICS & LDRSHP THRY II,W,3:30 PM,5:30 PM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,11664
MLSC 222/503 LEC,TACTICS & LDRSHP THRY II,MW,10:20 AM,11:10 AM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,11664
MLSC 222/504 LAB,TACTICS & LDRSHP THRY II,R,3:30 PM,5:30 PM,MILS 316,LeForte,202411 (CS Spring) - View Only,Scheduled,9,14465
MLSC 222/504 LEC,TACTICS & LDRSHP THRY II,MW,12:40 PM,1:30 PM,MILS 316,LeForte,202411 (CS Spring) - View Only,Scheduled,9,14465
MLSC 222/505 LAB,TACTICS & LDRSHP THRY II,W,3:30 PM,5:30 PM,,LeForte,202411 (CS Spring) - View Only,Unassigned,31,14466
MLSC 222/505 LEC,TACTICS & LDRSHP THRY II,MW,12:40 PM,1:30 PM,MILS 317,LeForte,202411 (CS Spring) - View Only,Scheduled,31,14466
MLSC 222/506 LAB,TACTICS & LDRSHP THRY II,R,3:30 PM,5:30 PM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,14467
MLSC 222/506 LEC,TACTICS & LDRSHP THRY II,MW,10:20 AM,11:10 AM,MILS 315,LeForte,202411 (CS Spring) - View Only,Scheduled,30,14467
MLSC 322/502 LAB,ADAPTIVE LDRSHIP II,W,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,11666
MLSC 322/502 LEC,ADAPTIVE LDRSHIP II,TR,9:35 AM,10:50 AM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,11666
MLSC 322/503 LAB,ADAPTIVE LDRSHIP II,W,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,11667
MLSC 322/503 LEC,ADAPTIVE LDRSHIP II,TR,11:10 AM,12:25 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,11667
MLSC 322/504 LAB,ADAPTIVE LDRSHIP II,W,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,15214
MLSC 322/504 LEC,ADAPTIVE LDRSHIP II,TR,12:45 PM,2:00 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,15214
MLSC 322/506 LAB,ADAPTIVE LDRSHIP II,R,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29029
MLSC 322/506 LEC,ADAPTIVE LDRSHIP II,TR,9:35 AM,10:50 AM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29029
MLSC 322/507 LAB,ADAPTIVE LDRSHIP II,R,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29028
MLSC 322/507 LEC,ADAPTIVE LDRSHIP II,TR,11:10 AM,12:25 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29028
